ancestry	gene_symbol	source_file	url	expected_size_bytes	sha256	md5	synapse_id	synapse_parent_id	pipeline_batch_id	raw_lifecycle	raw_cleanup_at	raw_cleanup_reason
EUR	ADGRG2	ADGRG2_Q8IZP9_OID20189_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51471240	548382720		240ecdbb5552182c11967ad528b4b0ae	syn51471240	syn51365303				
EUR	ADGRV1	ADGRV1_Q8WXG9_OID30877_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52363377	545034240		6de3cee63fe58a594b4cca2dd57085aa	syn52363377	syn51365303				
EUR	ADH1B	ADH1B_P00325_OID30612_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362389	546314240		be07a276abb35ceddce8105b3f2bad77	syn52362389	syn51365303				
EUR	ADH4	ADH4_P08319_OID20117_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51471289	545925120		178aa1e1b9340a45fc07589c921aaa79	syn51471289	syn51365303				
EUR	ADIPOQ	ADIPOQ_Q15848_OID30748_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362649	549785600		49c28c72714849cbcaad8a257630f972	syn52362649	syn51365303				
EUR	ADM	ADM_P35318_OID21467_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51468664	549160960		ea621955a243960953f682c4d1393948	syn51468664	syn51365303				
EUR	ADRA2A	ADRA2A_P08913_OID30067_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52361689	545013760		0142622a09b3ec1e5534dda0f484b988	syn52361689	syn51365303				
EUR	AFAP1	AFAP1_Q8N556_OID30569_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363491	547491840		9f64378bc38fa3fa38da028d2c501652	syn52363491	syn51365303				
EUR	AFM	AFM_P43652_OID30741_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52361876	549048320		4e35ce792ed43c48afaef45e02532eab	syn52361876	syn51365303				
EUR	AFP	AFP_P02771_OID20978_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51470299	547010560		e4510e175967f2244d64e22e33a3d698	syn51470299	syn51365303				
EUR	AGBL2	AGBL2_Q5U5Z8_OID30793_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52361900	544983040		a82590644b4ecb43b1ec6d4bb530a8c3	syn52361900	syn51365303				
EUR	AGER	AGER_Q15109_OID20756_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51468798	547665920		4bdea69e379c77c0bbfc97f37afa2b84	syn51468798	syn51365303				
EUR	AGR2	AGR2_O95994_OID20896_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51471222	544675840		d57bc40e9c2a7008149ffd89b90237e2	syn51471222	syn51365303				
